key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
#,,TerritoryType,ContentLinkType,Content,,,,,,ContentMemberType,,,,,,ClassJobLevel{Required},ClassJobLevel{Sync},ItemLevel{Required},ItemLevel{Sync},,AllowReplacement,,,,,,HighEndDuty,,,,,,Name,ContentType,Transient,,,Image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,str,TerritoryType,byte,Row,bit&01,byte,uint32,uint32,byte,ContentMemberType,byte,byte,byte,uint32,uint16,byte,byte,uint16,uint16,bit&02,bit&04,bit&08,bit&10,bit&20,byte,bit&40,bit&80,bit&01,bit&02,bit&04,bit&08,bit&10,str,ContentType,ContentFinderConditionTransient,uint32,uint16,Image,uint32,sbyte,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool
0,"",,0,,False,0,0,0,108,"ContentMemberType#0",0,0,0,0,0,0,0,0,0,False,True,True,False,False,0,False,False,False,False,False,False,True,"","","",0,0,"ui/icon/000000/000000.tex",0,-1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,"f1r1","Mille Gueules de Toto-Rak",1,"les Mille Gueules de Toto-Rak",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,24,27,0,0,True,True,True,False,False,1,True,False,True,False,False,False,True,"les Mille Gueules de Toto-Rak","Donjons","Ancienne résidence historique des Oracles et lieu de réflexion et de méditation, le Manoir des Haukke a été décrété trop fastueux par un Oracle ré<SoftHyphen/>vo<SoftHyphen/>lu<SoftHyphen/>tion<SoftHyphen/>nai<SoftHyphen/>re et a perdu sa fonction officielle. Le bâtiment a alors été vendu à une riche famille de Crépusculaires.

On sait très peu de choses sur la pro<SoftHyphen/>prié<SoftHyphen/>taire actuelle des lieux, une certaine dame Amandine, si ce n'est qu'elle a toujours fait preuve d'une vanité sans bornes, dépensant sans compter pour conserver sa beauté. Des crèmes pour le visage à base de miels rares du Coerthas aux shampooings de lait de poiluche exotique, son rituel de beauté quotidien prit tant d'ampleur que la rumeur populaire allait jusqu'à prétendre qu'elle se baignait dans le sang de ses servantes vierges. Aucun produit artificiel ne peut toutefois camoufler les atroces cicatrices qui la défigurent suite au Fléau, et depuis, elle a recours à un bien plus sinistre sacrifice au nom de la beauté, renonçant à son âme même dans un dernier effort pour “sauver les apparences”.",1,5,"ui/icon/112000/112005.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,"f1d1","Hypogée de Tam-Tara",1,"l'Hypogée de Tam-Tara",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,16,19,0,0,True,True,True,False,False,1,True,False,True,False,False,False,True,"l'Hypogée de Tam-Tara","Donjons","Ancienne résidence historique des Oracles et lieu de réflexion et de méditation, le Manoir des Haukke a été décrété trop fastueux par un Oracle ré<SoftHyphen/>vo<SoftHyphen/>lu<SoftHyphen/>tion<SoftHyphen/>nai<SoftHyphen/>re et a perdu sa fonction officielle. Le bâtiment a alors été vendu à une riche famille de Crépusculaires.

On sait très peu de choses sur la pro<SoftHyphen/>prié<SoftHyphen/>taire actuelle des lieux, une certaine dame Amandine, si ce n'est qu'elle a toujours fait preuve d'une vanité sans bornes, dépensant sans compter pour conserver sa beauté. Des crèmes pour le visage à base de miels rares du Coerthas aux shampooings de lait de poiluche exotique, son rituel de beauté quotidien prit tant d'ampleur que la rumeur populaire allait jusqu'à prétendre qu'elle se baignait dans le sang de ses servantes vierges. Aucun produit artificiel ne peut toutefois camoufler les atroces cicatrices qui la défigurent suite au Fléau, et depuis, elle a recours à un bien plus sinistre sacrifice au nom de la beauté, renonçant à son âme même dans un dernier effort pour “sauver les apparences”.",2,2,"ui/icon/112000/112002.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,"w1d1","Mines de Clochecuivre",1,"les Mines de Clochecuivre",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,17,20,0,0,True,True,True,False,False,1,True,False,True,False,False,False,True,"les Mines de Clochecuivre","Donjons","Ancienne résidence historique des Oracles et lieu de réflexion et de méditation, le Manoir des Haukke a été décrété trop fastueux par un Oracle ré<SoftHyphen/>vo<SoftHyphen/>lu<SoftHyphen/>tion<SoftHyphen/>nai<SoftHyphen/>re et a perdu sa fonction officielle. Le bâtiment a alors été vendu à une riche famille de Crépusculaires.

On sait très peu de choses sur la pro<SoftHyphen/>prié<SoftHyphen/>taire actuelle des lieux, une certaine dame Amandine, si ce n'est qu'elle a toujours fait preuve d'une vanité sans bornes, dépensant sans compter pour conserver sa beauté. Des crèmes pour le visage à base de miels rares du Coerthas aux shampooings de lait de poiluche exotique, son rituel de beauté quotidien prit tant d'ampleur que la rumeur populaire allait jusqu'à prétendre qu'elle se baignait dans le sang de ses servantes vierges. Aucun produit artificiel ne peut toutefois camoufler les atroces cicatrices qui la défigurent suite au Fléau, et depuis, elle a recours à un bien plus sinistre sacrifice au nom de la beauté, renonçant à son âme même dans un dernier effort pour “sauver les apparences”.",3,3,"ui/icon/112000/112003.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,"s1d1","Sastasha",1,"Sastasha",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,15,18,0,0,True,True,True,False,False,1,True,False,True,False,False,False,True,"Sastasha","Donjons","Ancienne résidence historique des Oracles et lieu de réflexion et de méditation, le Manoir des Haukke a été décrété trop fastueux par un Oracle ré<SoftHyphen/>vo<SoftHyphen/>lu<SoftHyphen/>tion<SoftHyphen/>nai<SoftHyphen/>re et a perdu sa fonction officielle. Le bâtiment a alors été vendu à une riche famille de Crépusculaires.

On sait très peu de choses sur la pro<SoftHyphen/>prié<SoftHyphen/>taire actuelle des lieux, une certaine dame Amandine, si ce n'est qu'elle a toujours fait preuve d'une vanité sans bornes, dépensant sans compter pour conserver sa beauté. Des crèmes pour le visage à base de miels rares du Coerthas aux shampooings de lait de poiluche exotique, son rituel de beauté quotidien prit tant d'ampleur que la rumeur populaire allait jusqu'à prétendre qu'elle se baignait dans le sang de ses servantes vierges. Aucun produit artificiel ne peut toutefois camoufler les atroces cicatrices qui la défigurent suite au Fléau, et depuis, elle a recours à un bien plus sinistre sacrifice au nom de la beauté, renonçant à son âme même dans un dernier effort pour “sauver les apparences”.",4,1,"ui/icon/112000/112001.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,"r1r2","Val d'Aurum",1,"le Val d'Aurum",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,47,49,0,0,True,True,True,False,False,1,True,False,True,False,False,False,True,"le Val d'Aurum","Donjons","Ancienne résidence historique des Oracles et lieu de réflexion et de méditation, le Manoir des Haukke a été décrété trop fastueux par un Oracle ré<SoftHyphen/>vo<SoftHyphen/>lu<SoftHyphen/>tion<SoftHyphen/>nai<SoftHyphen/>re et a perdu sa fonction officielle. Le bâtiment a alors été vendu à une riche famille de Crépusculaires.

On sait très peu de choses sur la pro<SoftHyphen/>prié<SoftHyphen/>taire actuelle des lieux, une certaine dame Amandine, si ce n'est qu'elle a toujours fait preuve d'une vanité sans bornes, dépensant sans compter pour conserver sa beauté. Des crèmes pour le visage à base de miels rares du Coerthas aux shampooings de lait de poiluche exotique, son rituel de beauté quotidien prit tant d'ampleur que la rumeur populaire allait jusqu'à prétendre qu'elle se baignait dans le sang de ses servantes vierges. Aucun produit artificiel ne peut toutefois camoufler les atroces cicatrices qui la défigurent suite au Fléau, et depuis, elle a recours à un bien plus sinistre sacrifice au nom de la beauté, renonçant à son âme même dans un dernier effort pour “sauver les apparences”.",5,12,"ui/icon/112000/112014.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,"f1d2","Manoir des Haukke",1,"le Manoir des Haukke",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,28,31,0,0,True,True,True,False,False,1,True,False,True,False,False,False,True,"le Manoir des Haukke","Donjons","Ancienne résidence historique des Oracles et lieu de réflexion et de méditation, le Manoir des Haukke a été décrété trop fastueux par un Oracle ré<SoftHyphen/>vo<SoftHyphen/>lu<SoftHyphen/>tion<SoftHyphen/>nai<SoftHyphen/>re et a perdu sa fonction officielle. Le bâtiment a alors été vendu à une riche famille de Crépusculaires.

On sait très peu de choses sur la pro<SoftHyphen/>prié<SoftHyphen/>taire actuelle des lieux, une certaine dame Amandine, si ce n'est qu'elle a toujours fait preuve d'une vanité sans bornes, dépensant sans compter pour conserver sa beauté. Des crèmes pour le visage à base de miels rares du Coerthas aux shampooings de lait de poiluche exotique, son rituel de beauté quotidien prit tant d'ampleur que la rumeur populaire allait jusqu'à prétendre qu'elle se baignait dans le sang de ses servantes vierges. Aucun produit artificiel ne peut toutefois camoufler les atroces cicatrices qui la défigurent suite au Fléau, et depuis, elle a recours à un bien plus sinistre sacrifice au nom de la beauté, renonçant à son âme même dans un dernier effort pour “sauver les apparences”.",6,6,"ui/icon/112000/112006.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,"w1d2","Halatali",1,"Halatali",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,20,23,0,0,True,True,True,False,False,1,True,False,True,False,False,False,True,"Halatali","Donjons","Ancienne résidence historique des Oracles et lieu de réflexion et de méditation, le Manoir des Haukke a été décrété trop fastueux par un Oracle ré<SoftHyphen/>vo<SoftHyphen/>lu<SoftHyphen/>tion<SoftHyphen/>nai<SoftHyphen/>re et a perdu sa fonction officielle. Le bâtiment a alors été vendu à une riche famille de Crépusculaires.

On sait très peu de choses sur la pro<SoftHyphen/>prié<SoftHyphen/>taire actuelle des lieux, une certaine dame Amandine, si ce n'est qu'elle a toujours fait preuve d'une vanité sans bornes, dépensant sans compter pour conserver sa beauté. Des crèmes pour le visage à base de miels rares du Coerthas aux shampooings de lait de poiluche exotique, son rituel de beauté quotidien prit tant d'ampleur que la rumeur populaire allait jusqu'à prétendre qu'elle se baignait dans le sang de ses servantes vierges. Aucun produit artificiel ne peut toutefois camoufler les atroces cicatrices qui la défigurent suite au Fléau, et depuis, elle a recours à un bien plus sinistre sacrifice au nom de la beauté, renonçant à son âme même dans un dernier effort pour “sauver les apparences”.",7,4,"ui/icon/112000/112004.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
