key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
#,,TerritoryType,ContentLinkType,Content,,,,,,ContentMemberType,,,,,,ClassJobLevel{Required},ClassJobLevel{Sync},ItemLevel{Required},ItemLevel{Sync},,AllowReplacement,,,,,,HighEndDuty,,,,DutyRecorderAllowed,,Name,ContentType,Transient,,,Image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,str,TerritoryType,byte,Row,bit&01,byte,uint32,uint32,byte,ContentMemberType,byte,byte,byte,uint32,uint16,byte,byte,uint16,uint16,bit&02,bit&04,bit&08,bit&10,bit&20,byte,bit&40,bit&80,bit&01,bit&02,bit&04,bit&08,bit&10,str,ContentType,ContentFinderConditionTransient,uint32,uint16,Image,uint32,sbyte,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool
0,"",,0,,False,0,0,0,108,"ContentMemberType#0",0,0,0,0,0,0,0,0,0,False,True,True,False,False,0,False,False,False,False,False,False,True,"","","",0,0,"ui/icon/000000/000000.tex",0,-1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,"f1r1","トトラクの千獄",1,"監獄廃墟 トトラクの千獄",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,24,27,0,0,True,True,True,False,False,1,True,False,True,False,False,False,True,"監獄廃墟 トトラクの千獄","ダンジョン","歴代の幻術皇の住まいとして使われていたものの、改革者として知られた先々代の幻術皇が「贅沢に過ぎる」として手放した元御用邸。この邸宅を買い取ったのは、さるフォレスター族の名門一家であった。
現当主アマンディヌは、美貌で知られる妙齢の女性。しかし、その女主人は霊災で顔面に深い傷を負って以来、人前に姿を現さなくなっていた。彼女が失われた美を取り戻すため、契約した者とは？",1,5,"ui/icon/112000/112005.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,"f1d1","タムタラの墓所",1,"地下霊殿 タムタラの墓所",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,16,19,0,0,True,True,True,False,False,1,True,False,True,False,False,False,True,"地下霊殿 タムタラの墓所","ダンジョン","歴代の幻術皇の住まいとして使われていたものの、改革者として知られた先々代の幻術皇が「贅沢に過ぎる」として手放した元御用邸。この邸宅を買い取ったのは、さるフォレスター族の名門一家であった。
現当主アマンディヌは、美貌で知られる妙齢の女性。しかし、その女主人は霊災で顔面に深い傷を負って以来、人前に姿を現さなくなっていた。彼女が失われた美を取り戻すため、契約した者とは？",2,2,"ui/icon/112000/112002.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,"w1d1","カッパーベル銅山",1,"封鎖坑道 カッパーベル銅山",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,17,20,0,0,True,True,True,False,False,1,True,False,True,False,False,False,True,"封鎖坑道 カッパーベル銅山","ダンジョン","歴代の幻術皇の住まいとして使われていたものの、改革者として知られた先々代の幻術皇が「贅沢に過ぎる」として手放した元御用邸。この邸宅を買い取ったのは、さるフォレスター族の名門一家であった。
現当主アマンディヌは、美貌で知られる妙齢の女性。しかし、その女主人は霊災で顔面に深い傷を負って以来、人前に姿を現さなくなっていた。彼女が失われた美を取り戻すため、契約した者とは？",3,3,"ui/icon/112000/112003.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,"s1d1","サスタシャ浸食洞",1,"天然要害 サスタシャ浸食洞",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,15,18,0,0,True,True,True,False,False,1,True,False,True,False,False,False,True,"天然要害 サスタシャ浸食洞","ダンジョン","歴代の幻術皇の住まいとして使われていたものの、改革者として知られた先々代の幻術皇が「贅沢に過ぎる」として手放した元御用邸。この邸宅を買い取ったのは、さるフォレスター族の名門一家であった。
現当主アマンディヌは、美貌で知られる妙齢の女性。しかし、その女主人は霊災で顔面に深い傷を負って以来、人前に姿を現さなくなっていた。彼女が失われた美を取り戻すため、契約した者とは？",4,1,"ui/icon/112000/112001.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,"r1r2","オーラムヴェイル",1,"霧中行軍 オーラムヴェイル",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,47,49,0,0,True,True,True,False,False,1,True,False,True,False,False,False,True,"霧中行軍 オーラムヴェイル","ダンジョン","歴代の幻術皇の住まいとして使われていたものの、改革者として知られた先々代の幻術皇が「贅沢に過ぎる」として手放した元御用邸。この邸宅を買い取ったのは、さるフォレスター族の名門一家であった。
現当主アマンディヌは、美貌で知られる妙齢の女性。しかし、その女主人は霊災で顔面に深い傷を負って以来、人前に姿を現さなくなっていた。彼女が失われた美を取り戻すため、契約した者とは？",5,12,"ui/icon/112000/112014.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,"f1d2","ハウケタ御用邸",1,"名門屋敷 ハウケタ御用邸",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,28,31,0,0,True,True,True,False,False,1,True,False,True,False,False,False,True,"名門屋敷 ハウケタ御用邸","ダンジョン","歴代の幻術皇の住まいとして使われていたものの、改革者として知られた先々代の幻術皇が「贅沢に過ぎる」として手放した元御用邸。この邸宅を買い取ったのは、さるフォレスター族の名門一家であった。
現当主アマンディヌは、美貌で知られる妙齢の女性。しかし、その女主人は霊災で顔面に深い傷を負って以来、人前に姿を現さなくなっていた。彼女が失われた美を取り戻すため、契約した者とは？",6,6,"ui/icon/112000/112006.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,"w1d2","ハラタリ修練所",1,"魔獣領域 ハラタリ修練所",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,20,23,0,0,True,True,True,False,False,1,True,False,True,False,False,False,True,"魔獣領域 ハラタリ修練所","ダンジョン","歴代の幻術皇の住まいとして使われていたものの、改革者として知られた先々代の幻術皇が「贅沢に過ぎる」として手放した元御用邸。この邸宅を買い取ったのは、さるフォレスター族の名門一家であった。
現当主アマンディヌは、美貌で知られる妙齢の女性。しかし、その女主人は霊災で顔面に深い傷を負って以来、人前に姿を現さなくなっていた。彼女が失われた美を取り戻すため、契約した者とは？",7,4,"ui/icon/112000/112004.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
