key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
#,EventItem,MonsterNoteTarget{Common}[0],MonsterCount[0],MonsterNoteTarget{Common}[1],MonsterCount[1],MonsterNoteTarget{Common}[2],MonsterCount[2],MonsterNoteTarget{Common}[3],MonsterCount[3],MonsterNoteTarget{Common}[4],MonsterCount[4],MonsterNoteTarget{Common}[5],MonsterCount[5],MonsterNoteTarget{Common}[6],MonsterCount[6],MonsterNoteTarget{Common}[7],MonsterCount[7],MonsterNoteTarget{Common}[8],MonsterCount[8],MonsterNoteTarget{Common}[9],MonsterCount[9],MonsterNoteTarget{NM}[0],MonsterNoteTarget{NM}[1],MonsterNoteTarget{NM}[2],,Fate[0],PlaceName{Fate}[0],Fate[1],PlaceName{Fate}[1],Fate[2],PlaceName{Fate}[2],Leve[0],Leve[1],Leve[2]
int32,EventItem,MonsterNoteTarget,byte,MonsterNoteTarget,byte,MonsterNoteTarget,byte,MonsterNoteTarget,byte,MonsterNoteTarget,byte,MonsterNoteTarget,byte,MonsterNoteTarget,byte,MonsterNoteTarget,byte,MonsterNoteTarget,byte,MonsterNoteTarget,byte,MonsterNoteTarget,MonsterNoteTarget,MonsterNoteTarget,uint16,Fate,PlaceName,Fate,PlaceName,Fate,PlaceName,Leve,Leve,Leve
0,,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"","","",0,"","","","","","","","",""
1,"Tafel[p] des Himmelsfeuers I","waghalsig[a] Plünderer",3,"Riesen-Henker",3,"Schwarmdorn-Sahagin",3,"Frontbrecher[p] der V. Kohorte",3,"synthetisch[a] Dobalos",3,"Hoplomachus[p] der IV. Kohorte",3,"Zanr'ak-Faustkämpfer",3,"Milchwurzel-Knöterich",3,"Basilisk",3,"Hoplomachus[p] der II. Kohorte",3,"Großkönig Galvanth","Isgebind","Diabolos",0,"Schuppe um Schuppe","Honigblumen-Steg","Auf Wolkenbruch raus","Galadion-Bucht","Mehr ist nicht genug","Tiefstes Inneres","Verschwundene Seiten","Der weite Weg","Wertvolle Dokumente"
2,"Tafel[p] des Himmelsfeuers II","wütend[a] Plünderer",3,"Sylphen-Seufzerin",3,"Smei",3,"Schwarmfang-Sahagin",3,"abgeklärt[a] Gladiator",3,"Dullahan",3,"Seichtschuppen-Plünderer",3,"Zahar'ak-Bogenschütze",3,"U'Ghamaro-Golem",3,"Natalan-Mutschwinge",3,"Aiatar","Tomberry-König","Ouranos",0,"Schlacht am Süddamm","Hagebaum","Hauptbrigadier für einen Tag","Eugenias Wachturm","Illegaler Holzexport","Wolfspferch (The Fold)","Streckensicherung","Kein Grund zur Besorgnis","Wie Monster im Porzellanladen"
3,"Tafel[p] des Jenseitsfeuers I","Wildschwein",3,"hexend[a] Plünderin",3,"Sylphen-Kreischerin",3,"Riesen-Fäller",3,"abgeklärt[a] Redner",3,"Gigas-Bonze",3,"U'Ghamaro-Laufbursche",3,"Seichtklauen-Plünderer",3,"Zahar'ak-Wahrsager",3,"Laquearius[p] der II. Kohorte",3,"Azeyma-Richter","Halikarnassos","Ex-Bischof Mumuepo ",0,"Nichts geht mehr","Westliche Blattader","Ende der Pilzsaison","Tiefstes Inneres","Schwarze Zukunft","Eugenias Wachturm","Patrouillengang","Steckbrief: Frost-Avis","Keine Gnade!"
4,"Tafel[p] des Himmelsfalles I","Panzerschuppen-Sahagin",3,"Olm",3,"Amalj'aa-Pikenier",3,"Seekobra",3,"Riesen-Häuptling",3,"U'Ghamaro-Steinschlepper",3,"Sylphenland-Wächter",3,"Seewespe",3,"Magitek-Frontbrecher",3,"Eques[p] der II. Kohorte",3,"Gyges [t] Groß[a]","Batraal","Gobmaschine[p] VI",0,"Schluss mit Gargamelle","Honigblumen-Steg","Verhängnisvolle Fracht","Hagebaum","Dem Quarz zuliebe","Ixal-Kahlhieb","Patrouillengang","Keine Manieren","Resteverwertung"
5,"Tafel[p] des Himmelsfalles II","Eisenschildkröte",3,"Hoplomachus[p] der V. Kohorte",3,"Dämonenfliege",3,"U'Ghamaro-Fürbeter",3,"Seichtaugen-Plünderer",3,"Laquearius[p] der IV. Kohorte",3,"Sylphenkappe",3,"Natalan-Wachwolf",3,"Gigas-Bhikku",3,"Sapsa-Panzerschuppe",3,"Graffias","Anantaboga","Halikarnassos",0,"Schlacht am Norddamm","Hagebaum","Nburus Bitterkeit","Westliche Blattader","Gar nicht so harmlos","Tiefstes Inneres","Bei Fuß!","Spiel auf Leben und Tod","Hauptsache dazwischenfunken!"
6,"Tafel[p] des Jenseitsfalles I","Amalj'aa-Brigant",3,"klein[a] Kalong",3,"Laquearius[p] der V. Kohorte",3,"Gigas-Sozu",3,"Schneewolf",3,"Ixal-Windkralle",3,"U'Ghamaro-Priester",3,"Secutor[p] der IV. Kohorte",3,"violett[a] Kreischerin",3,"Sapsa-Panzerklaue",3,"Chimära","Sirene","Diabolos",0,"Skandal im Sperrgebiet","Wolfspferch (The Fold)","Ehrenwache","Anfänger-Arena","Wilde Schwestern","Honigblumen-Steg","Komisches Gefühl im Bauch","Zu billig geht nicht","Steckbrief: Okeanos der Rote"
7,"Tafel[p] des Himmelswindes I","Sylphen-Keiferin",3,"Amalj'aa-Thaumaturg",3,"Eques[p] der V. Kohorte",3,"Sapsa-Elbst",3,"Hippogryph",3,"Grabenzahn-Sahagin",3,"Natalan-Windkralle",3,"Elite-Laufbursche",3,"Ahriman",3,"Secutor[p] der II. Kohorte",3,"Denn Walhauer","Knausers Mätresse","Ex-Bischof Mumuepo ",0,"Schutz und Hilfe","Mühlenhain","Schadenfröhlich","","Ausgekeimt","Westliche Blattader","Zu billig geht nicht","Versklavt","Gigantische Probleme"
8,"Tafel[p] des Himmelswindes II","Gigas-Shramana",3,"Signifer[p] der V. Kohorte",3,"Traumkröte",3,"Wachwolf",3,"Amalj'aa-Bogenschütze",3,"Signifer[p] der IV. Kohorte",3,"Zahar'ak-Kampf-Drakon",3,"Sapsa-Panzerzahn",3,"Natalan-Nebelrufer",3,"Elite-Priester",3,"Lady Amandine","Ouranos","Gobmaschine[p] VI",0,"Geflüchtet und entführt","Eugenias Wachturm","Der Wille von Haillenarte","Honigblumen-Steg","Grimmiges Beißendes","Mordion-Kerker","Verschwundene Seiten","Räuberische Begas","Leicht kaputtbares Erbstück"
9,"Tafel[p] der Himmelserde I","Amalj'aa-Plünderer",3,"Secutor[p] der V. Kohorte",3,"Ixal-Mutschwinge",3,"Zahar'ak-Faustkämpfer",3,"Drakolurch",3,"Hapalit",3,"Elite-Steinschlepper",3,"Natalan-Flinkschnabel",3,"violett[a] Seufzerin",3,"Signifer[p] der II. Kohorte",3,"Tangata","Anantaboga","Sirene",0,"Späte Vergeltung","Honigblumen-Steg","Gras grüner, Gestein größer","Galadion-Bucht","Großer Badu, große Gefahr","Ixal-Kahlhieb","Streckensicherung","Wer suchet, der findet","Licht auslöschen"
