key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
#,EventItem,MonsterNoteTarget{Common}[0],MonsterCount[0],MonsterNoteTarget{Common}[1],MonsterCount[1],MonsterNoteTarget{Common}[2],MonsterCount[2],MonsterNoteTarget{Common}[3],MonsterCount[3],MonsterNoteTarget{Common}[4],MonsterCount[4],MonsterNoteTarget{Common}[5],MonsterCount[5],MonsterNoteTarget{Common}[6],MonsterCount[6],MonsterNoteTarget{Common}[7],MonsterCount[7],MonsterNoteTarget{Common}[8],MonsterCount[8],MonsterNoteTarget{Common}[9],MonsterCount[9],MonsterNoteTarget{NM}[0],MonsterNoteTarget{NM}[1],MonsterNoteTarget{NM}[2],,Fate[0],PlaceName{Fate}[0],Fate[1],PlaceName{Fate}[1],Fate[2],PlaceName{Fate}[2],Leve[0],Leve[1],Leve[2]
int32,EventItem,MonsterNoteTarget,byte,MonsterNoteTarget,byte,MonsterNoteTarget,byte,MonsterNoteTarget,byte,MonsterNoteTarget,byte,MonsterNoteTarget,byte,MonsterNoteTarget,byte,MonsterNoteTarget,byte,MonsterNoteTarget,byte,MonsterNoteTarget,byte,MonsterNoteTarget,MonsterNoteTarget,MonsterNoteTarget,uint16,Fate,PlaceName,Fate,PlaceName,Fate,PlaceName,Leve,Leve,Leve
0,,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"","","",0,"","","","","","","","",""
1,"exemplaire du Livre du feu céleste I","harceleur casse-cou",3,"géant bûcheron",3,"Sahuagin épine-d'écueil",3,"avant-garde de la 5e cohorte",3,"doblyn synthétique",3,"hoplomachus de la 4e cohorte",3,"pugiliste de Zanr'ak",3,"grappe de tuberculait",3,"basilic",3,"hoplomachus de la 2e cohorte",3,"Galvanth le Tyran","Isgebind","Diabolos",0,"Défi<Indent/>: le dernier jour de Seps","Jetée du Bouquet","Défi<Indent/>: peur de l'orage<Indent/>?","Baie de Galadion","Subjugués ingrats","Sous-sol éorzéen","Nécrologos<Indent/>: contrôle à distance","Pourchasse<Indent/>: les blagues les plus courtes sont les meilleures","Protection<Indent/>: sauve qui peut"
2,"exemplaire du Livre du feu céleste II","harceleur enragé",3,"soupireur sylphe",3,"biast",3,"Sahuagin dent-d'écueil",3,"gladiateur subjugué",3,"dullahan",3,"scutelle des pillards du serpent",3,"archer de Zahar'ak",3,"golem d'U'Ghamaro",3,"aile-hardie de Natalan",3,"Aiatar","tomberry roi","Ouranos",0,"Percée du barrage du sud","Arbre de l'Orée","Protéger ses arrières","Tour d'Eugenia","Raid sur le site de déboisement ixal","La Louverie (The Fold)","Interception<Indent/>: sus au démon","Interception<Indent/>: le jaune, c'est tendance","Protection<Indent/>: apprendre à respecter le passé"
3,"exemplaire du Livre du feu infernal I","verrat sauvage",3,"harceleur ensorceleur",3,"crieur sylphe",3,"géant jouteur",3,"psalmodieur subjugué",3,"gigas bonze",3,"livreur d'U'Ghamaro",3,"aiguillon des pillards du serpent",3,"augure de Zahar'ak",3,"laquearius de la 2e cohorte",3,"adjucateur","Halicarnasse","Mumuepo le prêtre déchu",0,"Défi<Indent/>: Porus et les 1000 chasseurs","Veine de l'ouest","Flapi chapeau","Sous-sol éorzéen","Défi<Indent/>: sombre futur pour le voyant","Tour d'Eugenia","Patrouille<Indent/>: un point stratégique","Exécution<Indent/>: le péril draconique","Interception<Indent/>: un gros problème de résolu"
4,"exemplaire du Livre de l'eau céleste I","Sahuagin écaille-des-profondeurs",3,"protée",3,"lancier amalj'aa",3,"cobra des lacs",3,"géant devin",3,"terrassier d'U'Ghamaro",3,"sentinelle des Terres sylphes",3,"guêpe des mers",3,"avant-garde magitek",3,"eques de la 2e cohorte",3,"Gygès l'invulnérable","Batraal","gobtank G-VI",0,"Défi<Indent/>: dans la gamelle de Gargamelle","Jetée du Bouquet","Défi<Indent/>: mante à l'eau","Arbre de l'Orée","Quitte ou doblyn","Site de déboisement ixal","Patrouille<Indent/>: un point stratégique","Nécrologos<Indent/>: dans l'antre des bêtes","Protection<Indent/>: sus aux intrus"
5,"exemplaire du Livre de l'eau céleste II","tortue de fer",3,"hoplomachus de la 5e cohorte",3,"pou volant",3,"prieur d'U'Ghamaro",3,"prunelle des pillards du serpent",3,"laquearius de la 4e cohorte",3,"chapeau sylphe",3,"loup de Natalan",3,"gigas bhikkhu",3,"écaille-des-profondeurs de Sapsa",3,"Graffias","Anantaboga","Halicarnasse",0,"Percée du barrage du nord","Arbre de l'Orée","Défi<Indent/>: sonner le Glas pour Nburu","Veine de l'ouest","Défi<Indent/>: Daxio le chimiste","Sous-sol éorzéen","Escorte<Indent/>: un chien fidèle","Patrouille<Indent/>: sécurité routière","Interception<Indent/>: des troupes un peu trop curieuses"
6,"exemplaire du Livre de l'eau infernale I","brigand amalj'aa",3,"kalong",3,"laquearius de la 5e cohorte",3,"gigas sôzu",3,"loup des neiges",3,"Ixal serres-vent",3,"prêtre d'U'Ghamaro",3,"secutor de la 4e cohorte",3,"crieur violet",3,"griffe-des-profondeurs de Sapsa",3,"chimère","sirène","Diabolos",0,"Défi<Indent/>: les morts en marche","La Louverie (The Fold)","La route du céruleum","Salle des novices","Défi<Indent/>: les quatre sœurs du malheur","Jetée du Bouquet","Interception<Indent/>: la chasse aux taurus","Extermination<Indent/>: l'habit ne fait pas le moine","Exécution<Indent/>: les vainqueurs écrivent l'histoire"
7,"exemplaire du Livre du vent céleste I","grondeur sylphe",3,"occultiste amalj'aa",3,"eques de la 5e cohorte",3,"elbst de Sapsa",3,"hippogriffe",3,"Sahuagin dent-des-fosses",3,"serres-vent de Natalan",3,"livreur d'élite",3,"ahriman",3,"secutor de la 2e cohorte",3,"Denn dent-d'orque","maîtresse du Grigou","Mumuepo le prêtre déchu",0,"Escorte pour le Guet","Moulin des Bois","Défi<Indent/>: le plus Revanchard des deux","","Trop de morbols tuent les morbols","Veine de l'ouest","Extermination<Indent/>: l'habit ne fait pas le moine","Interception<Indent/>: la stèle d'invocation","Exécution<Indent/>: quelqu'un a une grande gueule"
8,"exemplaire du Livre du vent céleste II","gigas shramana",3,"signifer de la 5e cohorte",3,"crapaud rêveur",3,"loup de garde",3,"archer amalj'aa",3,"signifer de la 4e cohorte",3,"draconide de Zahar'ak",3,"dent-des-profondeurs de Sapsa",3,"embrumeur de Natalan",3,"prêtre d'élite",3,"dame Amandine","Ouranos","gobtank G-VI",0,"Que décline son armée","Tour d'Eugenia","Un giga problème","Jetée du Bouquet","Défi<Indent/>: Phaïa pas l'inviter","Geôle de Mordion","Nécrologos<Indent/>: contrôle à distance","Patrouille<Indent/>: gi<SoftHyphen/>gan<SoftHyphen/>tesques prédateurs","Protection<Indent/>: suivre la piste"
9,"exemplaire du Livre de la terre céleste I","charognard amalj'aa",3,"secutor de la 5e cohorte",3,"Ixal aile-hardie",3,"pugiliste de Zahar'ak",3,"axolotl",3,"hapalit",3,"terrassier d'élite",3,"bec-vif de Natalan",3,"soupireur violet",3,"signifer de la 2e cohorte",3,"Tangata le bestial","Anantaboga","sirène",0,"Défi<Indent/>: se battre Sobek et ongles","Jetée du Bouquet","Défi<Indent/>: un Kobold sachant forer...","Baie de Galadion","Défi<Indent/>: se forger des chimères","Site de déboisement ixal","Interception<Indent/>: sus au démon","Nécrologos<Indent/>: de malheureuses fouilles","Pourchasse<Indent/>: ci-gisent les gigas"
